dist_metro,num_residential,avg_income,traffic,rent_per_sqm,has_parking,competition_count,score,suitable
16.2,3,7.9,medium,116,yes,1,60,good
47.7,5,15.7,medium,73,no,1,47,bad
31.3,5,11,medium,110,yes,4,45,bad
24.9,2,15.1,medium,119,no,1,53,good
9.1,2,9.5,medium,107,yes,1,77,good
9.1,4,12.3,medium,140,yes,0,81,good
5.9,3,16.8,medium,139,no,2,66,good
39.7,2,10.9,low,84,yes,0,36,bad
25,4,9.6,medium,112,yes,7,75,good
30.1,1,14.6,low,99,no,1,11,bad
3.9,3,14.5,medium,127,yes,3,88,good
50.4,1,9.8,low,79,no,0,0,bad
37.3,3,4.1,medium,84,no,3,21,bad
10.8,3,9.6,medium,122,no,2,51,good
9.9,1,14.7,medium,143,yes,2,62,good
9.9,2,8.9,medium,119,yes,1,65,good
13.8,4,12,medium,124,no,3,49,bad
21.8,2,9.4,medium,105,yes,1,64,good
18.3,5,4.3,medium,98,yes,4,50,good
13.4,0,9.3,medium,122,yes,1,57,good
25.5,3,14.7,medium,99,yes,3,61,good
8.6,2,3,medium,111,yes,2,48,bad
13.4,0,13,medium,129,no,1,43,bad
15.9,2,7.3,medium,129,no,1,28,bad
19.1,2,14.4,medium,108,yes,3,64,good
34.3,4,14.9,medium,104,yes,3,48,bad
10.4,2,11.3,medium,133,yes,1,71,good
21.4,1,11.3,medium,92,no,1,32,bad
24.6,1,8.8,medium,105,yes,1,43,bad
5.4,0,6.6,medium,134,no,1,41,bad
25.3,2,18.8,medium,126,no,3,40,bad
9.6,4,8.5,medium,122,yes,2,73,good
6.2,3,18.3,medium,151,no,6,52,good
47.5,5,8.6,medium,68,no,2,36,bad
49.7,5,14.1,medium,57,yes,1,69,good
35.8,3,7.4,medium,83,yes,2,67,good
13.8,4,14.1,medium,124,yes,4,77,good
7.4,1,10.7,medium,123,no,2,55,good
28.9,3,10.7,medium,123,no,1,24,bad
18.6,4,14.4,medium,133,yes,5,82,good
8.1,4,10.1,medium,117,no,3,68,good
20.6,3,6.3,medium,105,yes,4,50,good
4.8,2,15,medium,157,yes,1,86,good
43.3,2,7.4,low,55,yes,0,25,bad
12.3,3,14.1,medium,131,yes,4,68,good
27.8,3,15.9,medium,111,no,4,49,bad
